company_name,number_of_investments,number_of_exits,location,investor_type,description,company_url,domain,Unnamed: 8,facebook,instagram,linkedin,twitter,Unnamed: 13,contact_email,phone_number,industries,program,country,Unnamed: 19
Techstars Chicago,114.0,22.0,"Chicago, Illinois, United States",Accelerator,"Techstars Chicago conducts programs for startups to connect with investors, mentors, and entrepreneurs.",http://www.techstars.com/programs/chicago-program/,techstars.com,,https://www.facebook.com/techstars,https://www.instagram.com/techstars/,http://www.linkedin.com/company/1832898,https://twitter.com/techstars,,info@techstars.com,,"Consulting, Financial Services, Venture Capital",,United States,
M25,111.0,4.0,"Chicago, Illinois, United States",Micro VC,"M25 is the most active early-stage VC firm investing in Midwest headquartered startups (14 states, 100+ companies) across various industries",https://m25vc.com/,m25vc.com,,,,https://www.linkedin.com/company/m25-vc/,https://twitter.com/m25vc,,victor@m25vc.com,,"Consumer, Enterprise, Enterprise Software, Finance, Health Care, Software, Venture Capital",,United States,
Promus Ventures,104.0,17.0,"Chicago, Illinois, United States",Micro VC,Investing in early-stage deep-tech software/hardware companies run by visionary and tenacious founding teams.,http://www.promusventures.com,promusventures.com,,,,https://www.linkedin.com/company/2922061,https://twitter.com/AkashaImaging,,info@promusventures.com,,"Aerospace, AgTech, Artificial Intelligence, FinTech, Health Care, Machine Learning, Robotics, Software, Space Travel, Venture Capital",,United States,
Jump Capital,98.0,11.0,"Chicago, Illinois, United States",Venture Capital,Jump Capital is a venture capital firm specializing in Series A & B expansion stage investments in technology and software.,https://jumpcap.com/,jumpcap.com,,,,http://www.linkedin.com/company/jump-capital,https://twitter.com/jumpcapital,,info@jumpcap.com,,"Enterprise Software, Finance, Financial Services, IT Infrastructure, Venture Capital",,United States,
Healthbox,95.0,10.0,"Chicago, Illinois, United States",Accelerator,"Healthbox is a an innovation consulting and fund management services firm, helping organization build and sustain innovation strategies.",https://www.healthbox.com/,healthbox.com,,https://www.facebook.com/Healthbox,,https://www.linkedin.com/company/healthbox/,https://twitter.com/healthbox,,info@healthbox.com,312-228-4669,"Health Care, Incubators, Venture Capital",,United States,
Apex Venture Partners,85.0,24.0,"Chicago, Illinois, United States",Venture Capital,"Apex Venture Partners, established in 1987, has six funds and more than $600 million under management.",http://www.apexvc.com,apexvc.com,,,,https://www.linkedin.com/company/apex-venture-partners,,,apex@apexvc.com,,"Finance, Information Technology, Venture Capital",,United States,
IrishAngels,84.0,5.0,"Chicago, Illinois, United States",Angel Group,IrishAngels is a Chicago-based angel investing network affiliated with the University of Notre Dame.,https://irishangels.com/,irishangels.com,,,,http://www.linkedin.com/company/irishangels,https://twitter.com/irishangels,,info@irishangels.com,,Venture Capital,,United States,
REACH,83.0,8.0,"Chicago, Illinois, United States",Accelerator,"REACH is an accelerator owned and operated by Second Century Ventures, the investment arm of the National Association of Realtors¬Ѓ.",https://nar-reach.com/,narreach.com,,,,http://www.linkedin.com/company/nar-reach-,https://twitter.com/narREach,,info@narreach.com,312-329-8524,"Artificial Intelligence, Commercial Real Estate, Incubators, Property Insurance, Property Management, Real Estate, Rental Property, Residential, SaaS",,United States,
Valor Equity Partners,73.0,4.0,"Chicago, Illinois, United States",Private Equity Firm,Valor Equity Partners is an operational growth investment firm focused on high growth companies across various stages of development.,https://www.valorep.com/,valorep.com,,,,https://www.linkedin.com/company/valor-equity-partners/,,,info@valorep.com,(312) 683-1881,Financial Services,,United States,
Origin Ventures,73.0,13.0,"Chicago, Illinois, United States",Venture Capital,Origin Ventures is a VC firm that invests in emerging software and technology-enabled B2B and B2C marketplace businesses.,https://originventures.com/,originventures.com,,,,https://www.linkedin.com/company/origin-ventures/,https://twitter.com/OriginVentures,,inquire@originventures.com,,"Business Development, Finance, Financial Services, Venture Capital",,United States,
Comdisco Ventures,73.0,38.0,"Rosamond, Illinois, United States",Private Equity Firm,"Comdisco emerged from chapter 11 bankruptcy proceedings on August 12, 2002. The purpose of reorganized Comdisco is to sell, collect or",http://www.comdisco.com,comdisco.com,,,,,,,mabolste@comdisco.com,,"Finance, Financial Services, Venture Capital",,United States,
Moderne Ventures,70.0,7.0,"Chicago, Illinois, United States","Micro VC, Venture Capital","Moderne Ventures is a venture fund that invests in tech real estate, mortgage, finance, insurance, and home service companies.",https://www.moderneventures.com/passport/,moderneventures.com,,,,https://www.linkedin.com/company/6628465,,,info@moderneventures.com,,"Business Development, Finance, Venture Capital",,United States,
TechNexus Venture Collaborative,64.0,4.0,"Chicago, Illinois, United States","Corporate Venture Capital, Incubator, Venture Capital",Corporate innovators. Ecosystem curators. Collaborators in a new venture model.,http://www.technexus.com,technexus.com,,,,http://www.linkedin.com/company/technexus,,,collaborate@technexus.com,(312) 924-1026,"Aerospace, Audio, Automotive, Fitness, Incubators, Internet of Things, Public Safety, Recreational Vehicles, Wellness",,United States,
MK Capital,64.0,15.0,"Northbrook, Illinois, United States",Venture Capital,MK Capital is a $250 million venture capital fund with headquarters in Chicago and offices in Los Angeles and Ann Arbor.,https://www.mkcapital.com/,mkcapital.com,,http://www.facebook.com/mkcapital,,https://www.linkedin.com/company/69668?trk=cws-btn-overview-0-0,,,kris@mkcapital.com,310.586.7400,"Banking, Finance, Venture Capital",,United States,
Impact Engine,61.0,1.0,"Chicago, Illinois, United States","Micro VC, Private Equity Firm, Venture Capital",Impact Engine is a venture capital and private equity firm that invests financial and human capital in early-stage companies.,https://www.theimpactengine.com/,theimpactengine.com,,,,http://www.linkedin.com/company/impact-engine,https://twitter.com/TheImpactEngine,,info@theimpactengine.com,,"EdTech, Energy Efficiency, Enterprise Software, Health Care, Impact Investing, Information Technology",,United States,
Sandbox Industries,60.0,12.0,"Chicago, Illinois, United States","Accelerator, Venture Capital","Sandbox bridges the gap between startups and corporations in three ways: strategic venture funds, accelerators, and consulting services.",https://www.sandboxindustries.com/,sandboxindustries.com,,,,https://www.linkedin.com/company/sandbox-industries,,,info@sandboxindustries.com,,"Financial Services, Venture Capital",,United States,
Jumpstart Ventures,49.0,12.0,"Chicago, Illinois, United States",Micro VC,JumpStart Ventures is an investment fund built to partner with entrepreneurs solving problems that need intelligent innovation.,http://www.jumpstart.vc/,jumpstart.vc,,,,,,,partners@jumpstart.vc,,"Angel Investment, E-Commerce, Enterprise Software",,United States,
Illinois Ventures,44.0,9.0,"Chicago, Illinois, United States","Government Office, Venture Capital","Illinois Ventures is a seed and early-stage technology investment firm focused on research-derived companies in information technologies,",https://www.illinoisventures.com/,illinoisventures.com,,,,https://www.linkedin.com/company/illinois-ventures/,https://twitter.com/IllinoisVC,,admin@illinoisventures.com,(312) 996-9853 (312) 996-9853 (312) 996-9853,"Financial Services, Venture Capital",,United States,
Financial Solutions Lab,43.0,4.0,"Chicago, Illinois, United States",Accelerator,"The Financial Solutions Lab cultivates, supports and scales innovations that advance the financial health of LMI and underserved individuals",http://finlab.finhealthnetwork.org/,finlab.finhealthnetwork.org,,,,,,,FinLab@finhealthnetwork.org,,"Asset Management, Finance, Financial Services, FinTech, Information Technology, Non Profit",,United States,
Lakewest Venture Partners,39.0,7.0,"Chicago, Illinois, United States",Micro VC,"Lakewest Venture Partners is a real estate and private equity company, pursuing seed and early stage investment opportunities.",http://www.lakewestinc.com/,lakewestinc.com,,,,http://www.linkedin.com/company/lakewest-inc-,,,jon@belgraviagroup.com,(312) 561-5201,"Commercial Real Estate, Financial Services, Real Estate",,United States,
KB Partners,37.0,8.0,"Highland Park, Illinois, United States",Venture Capital,KB Partners is a suburban Chicago based investment firm focused on early stage venture capital investments.,https://kbpartners.com/,kbpartners.com,,,,https://www.linkedin.com/company/kb-partners,https://twitter.com/KBPartnersVC,,info@kbpartners.com,(847) 681-1270,"Finance, Financial Services, Sports, Venture Capital",,United States,
Duchossois Technology Partners,34.0,10.0,"Elmhurst, Illinois, United States",Venture Capital,"Duchossois Technology Partners (DTEC) is a venture capital firm investing in early, mid, and growth stages of high potential technology",https://www.dcmllc.com/,dcmllc.com,,,,https://www.linkedin.com/company/duchossois-capital-partners/about/,,,duchtec@duch.com,630-501-2300,"Finance, Impact Investing, Venture Capital",,United States,
Clean Energy Trust,33.0,2.0,"Chicago, Illinois, United States","Accelerator, Startup Competition, Venture Capital","Clean Energy Trust supports early-stage startups working on solutions for clean energy, decarbonization, and environmental sustainability.",https://www.cleanenergytrust.org/,cleanenergytrust.org,,https://www.facebook.com/cleanenergytrust,,http://www.linkedin.com/company/clean-energy-trust,https://twitter.com/cleanenergytrst,,info@cleanenergytrust.org,312-487-4000,"Advanced Materials, AgTech, Clean Energy, CleanTech, Energy, Energy Efficiency, Renewable Energy, Transportation",,United States,
AbbVie Biotech Ventures,33.0,5.0,"North Chicago, Illinois, United States","Corporate Venture Capital, Venture Capital","AbbVie Biotech Ventures, an Illinois-based company, makes investments in emerging biotech and pharmaceutical companies.",https://www.abbvie.com/partnerships/abbvie-ventures.html,abbvie.com,,https://www.facebook.com/AbbVieGlobal,https://www.instagram.com/abbvie/?hl=en,https://www.linkedin.com/company/abbvie,https://twitter.com/abbvie,,customerservice@abbvie.com,,"Biotechnology, Financial Services, Venture Capital",,United States,
Madison Dearborn Partners,32.0,16.0,"Chicago, Illinois, United States",Private Equity Firm,MDP seeks to invest in companies in partnership with outstanding management teams and achieve significant long-term value appreciation.,https://www.mdcp.com/,mdcp.com,,,,http://www.linkedin.com/company/40911,,,info@mdcp.com,(312) 895-1000,"Finance, Financial Services, Venture Capital",,United States,
Listen,32.0,5.0,"Chicago, Illinois, United States",Micro VC,Listen is a consumer-only venture capital firm focused on backing and building the brands of tomorrow.,https://www.listen.co,listen.co,,,,https://www.linkedin.com/company/listenventures/,,,Jeff@listen.co,,"Finance, Financial Services, Venture Capital",,United States,
Harvard Business School Angels Chicago,32.0,1.0,"Chicago, Illinois, United States",Angel Group,HBS Angels of Chicago invest in and directly support promising early stage ventures.,http://www.hbsangelschicago.com/,hbsangelschicago.com,,,,https://www.linkedin.com/company/harvard-business-school-angels-chicago/,,,info@hbsangelschicago.com,,Venture Capital,,United States,
Ares Management,31.0,9.0,"Chicago, Illinois, United States",Private Equity Firm,"Ares Management is a global alternative asset manager focusing on credit, private equity, and real estate.",https://www.aresmgmt.com/,aresmgmt.com,,,,http://www.linkedin.com/company/ares-management,https://twitter.com/ares_management,,investorrelations@aresmgmt.com,(800)-940-6347,"Asset Management, Credit, Financial Services",,United States,
Cultivian Sandbox Ventures,31.0,1.0,"Chicago, Illinois, United States",Venture Capital,Cultivian Sandbox is a venture capital firm focused on building next-generation disruptive agriculture and food technology companies,https://cultiviansbx.com/,cultiviansbx.com,,,,https://www.linkedin.com/company/cultivian-sandbox/,https://twitter.com/CultivianSBX,,contactus@cultiviansbx.com,,,,United States,
West Capital Advisors,31.0,7.0,"Chicago, Illinois, United States",Family Investment Office,"West Capital Advisors provides full-cycle corporate innovation, venture and strategic development advisory services.",https://www.westcapadv.com/,westcapadv.com,,,,https://www.linkedin.com/company/west-capital-advisors-llc,,,john@westcapadv.com,513.984.7980,"Medical Device, Social Media, Venture Capital",,United States,
I2A Fund,30.0,10.0,"Chicago, Illinois, United States",Micro VC,I2A is a seed venture capital fund that catalyzes and partners with entrepreneurial companies in the Illinois region.,http://www.i2afund.com,i2afund.com,,,,,,,info@i2aventures.com,,"Finance, Financial Services, Venture Capital",,United States,
"Creation Investments Capital Management, LLC",29.0,2.0,"Chicago, Illinois, United States",Private Equity Firm,"Creation Investments seeks to offer investors a double bottom line, maximizing financial and social returns on investment.",https://creationinvestments.com/,creationinvestments.com,,,,https://www.linkedin.com/company/creation-investments-social-ventures-fund-i,,,information@creationinvestments.com,312.784.3988,"Finance, Financial Services, Insurance, Leasing, Micro Lending, Payments, Venture Capital",,United States,
New Stack Ventures,28.0,1.0,"Chicago, Illinois, United States","Micro VC, Syndicate, Venture Capital",New Stack Ventures is a Chicago-based venture firm investing in early seed stage startups,https://newstack.vc,newstack.vc,,,,https://www.linkedin.com/company/11396054/,,,team@newstack.vc,+1 (312) 804-3306,"E-Commerce, Education, Financial Services, Health Care, Information Technology, Internet, Manufacturing, Marketplace, SaaS, Software",,United States,
Boeing HorizonX Ventures,28.0,1.0,"Chicago, Illinois, United States","Corporate Venture Capital, Venture Capital",HorizonX Ventures is the venture capital arm of Boeing. The firm primarily invests in late seed through mid/growth stage companies.,https://www.aeroequity.com/,boeing.com,,,,https://www.linkedin.com/company/boeing/,,,HorizonX@boeing.com,,"Advanced Materials, Artificial Intelligence, Cyber Security, Energy, Internet of Things, Logistics, Machine Learning, Manufacturing, Space Travel, Venture Capital",,United States,
Pallasite Ventures,26.0,2.0,"Chicago, Illinois, United States",Venture Capital,Pallasite Ventures provides early-stage financing for high-growth companies across a variety of industries.,https://www.pallasiteventures.com/,pallasiteventures.com,,,,https://www.linkedin.com/in/christopher-bissonnette-53154029,,,info@pallasiteventures.com,(312) 375-3889,Financial Services,,United States,
Open Prairie,26.0,4.0,"Champaign, Illinois, United States",Venture Capital,"Open Prairie is a private equity fund manager providing fund deployment, advisory, and strategic planning services since 1997.",https://www.openprairie.com/,openprairie.com,,,,https://www.linkedin.com/company/open-prairie-ventures,,,info@openprairie.com,,"Angel Investment, Finance, Venture Capital",,United States,
Guggenheim Partners,25.0,3.0,"Chicago, Illinois, United States","Investment Bank, Venture Capital","Guggenheim Partners is a diversified financial services firm, offers investment management and banking, and insurance services.",https://www.guggenheimpartners.com/,guggenheimpartners.com,,,https://www.instagram.com/guggenheimpartners,https://www.linkedin.com/company/guggenheim-partners/,https://twitter.com/GuggenheimPtnrs,,inquiries@guggenheimpartners.com,,"Finance, Financial Services, Venture Capital",,United States,
Wintrust Ventures,25.0,3.0,"Rosamond, Illinois, United States","Corporate Venture Capital, Venture Capital",Wintrust Ventures is a trusted faciliator of innovative start-up growth in the greater Chicago community.,https://www.wintrust.com,wintrust.com,,,,https://www.linkedin.com/company/wintrust-financial-corporation/,,,bmoore@wintrust.com,(312)291-2912,"Business Development, Financial Services, Venture Capital",,United States,
CMT Digital Ventures LLC,23.0,,"Chicago, Illinois, United States",Venture Capital,Opportunistic investments in blockchain companies and digital assets.,https://cmt.digital/,cmt.digital,,,,https://www.linkedin.com/company/cmt-digital-ltd/,,,bitcoin@cmtam.com,,"Blockchain, CRM, Cryptocurrency, Financial Services, FinTech, Information Technology",,United States,
Mesirow Financial,23.0,6.0,"Chicago, Illinois, United States",Private Equity Firm,Mesirow Financial is a diversified financial services firm that specializes in financial services and software.,https://www.mesirow.com/,mesirowfinancial.com,,https://www.facebook.com/mesirowfinancial,,http://www.linkedin.com/company/mesirow-financial,https://twitter.com/MesirowFin,,bjacobs@mesirowfinancial.com,800.321.1844,"Enterprise Software, Financial Services, Mobile",,United States,
DRW Venture Capital,23.0,3.0,"Chicago, Illinois, United States",Venture Capital,"DRW Venture Capital, an arm of principal trading firm DRW, invests primarily in financial and enterprise technology.",https://www.drwvc.com/,drwvc.com,,,,http://www.linkedin.com/company/drw-trading-group,,,drwrecruiting@drw.com,,"Financial Services, FinTech, Venture Capital",,United States,
Energy Foundry,23.0,2.0,"Chicago, Illinois, United States",Venture Capital,Energy Foundry is a Chicago-based venture fund that invests in early-stage energy and clean-tech startups.,https://www.energyfoundry.com/,energyfoundry.com,,,,http://www.linkedin.com/company/2773491,https://twitter.com/EnergyFoundry,,info@energyfoundry.com,,"Clean Energy, CleanTech, Energy, Energy Efficiency, Energy Storage, Impact Investing, Information Technology, Power Grid, Venture Capital",,United States,
William Blair,23.0,11.0,"Chicago, Illinois, United States","Investment Bank, Venture Capital",William Blair is a global investment banking and asset management firm.,http://www.williamblair.com,williamblair.com,,,,https://www.linkedin.com/company/166939,,,info@williamblair.com,1(312) 236-1600,"Asset Management, Banking, Finance, Financial Services, Wealth Management",,United States,
Prospect Partners,23.0,4.0,"Chicago, Illinois, United States",Private Equity Firm,Prospect Partners is a leading private equity firm that invests in smaller lower-middle-market companies.,http://www.prospect-partners.com/,prospect-partners.com,,,,https://www.linkedin.com/company/prospect-partners-llc,,,reception@prospect-partners.com,(312)782-7400,"Financial Services, Manufacturing, Venture Capital",,United States,
New Coast Ventures,22.0,3.0,"Chicago, Illinois, United States","Micro VC, Venture Capital","New Coast Ventures is a full-service web and mobile development firm that builds solutions for Fortune 500s, startups, and even itself.",http://www.newcoastventures.com/,newcoastventures.com,,,,https://www.linkedin.com/company/new-coast-ventures,,,info@newcoastventures.com,(847) 436-4229,"Computer, Consulting, Web Development",,United States,
Leo Capital Holdings,21.0,6.0,"Northbrook, Illinois, United States",Venture Capital,"Leo Capital Holdings, LLC is a privately funded venture investor making investments in early and later stage private companies.",http://www.leocapholdings.com,leocapholdings.com,,,,,,,info@leocapholdings.com,847-418-3420,"Finance, FinTech, Venture Capital",,United States,
Balyasny Asset Management,20.0,4.0,"Chicago, Illinois, United States",Private Equity Firm,"Founded in 2001, BAM is a $12 billion asset management firm dedicated to delivering consistent, uncorrelated absolute returns",https://www.bamfunds.com/,bamfunds.com,,,https://www.instagram.com/bamfunds/,https://www.linkedin.com/company/balyasny-asset-management-l.p./,,,pr@bamfunds.com,2033408050,,,United States,
Victory Park Capital,18.0,3.0,"Chicago, Illinois, United States",Private Equity Firm,"Victory Park Capital Advisors is a privately held, SEC-registered, global alternative investment firm.",http://www.victoryparkcapital.com,victoryparkcapital.com,,,,https://www.linkedin.com/company/victory-park-capital-advisors/about/,,,info@victoryparkcapital.com,312.701.1777,,,United States,
Alpha Capital,18.0,6.0,"Chicago, Illinois, United States",Private Equity Firm,"Alpha Capital provides equity financing solutions and is a private equity investment firm based in Chicago, Illinois.",http://www.alphacapital.com,alphacapital.com,,,,https://www.linkedin.com/company/alpha-capital-partners,,,info@alphacapital.com,312-322-9800,"Biotechnology, Financial Services, Software",,United States,
Salveo Capital,18.0,,"Chicago, Illinois, United States",Private Equity Firm,Private investment fund focused on the legalized cannabis industry,https://www.salveocapital.com/,salveocapital.com,,,,https://www.linkedin.com/company/salveo-capital,,,michael@salveocapital.com,312-260-1125,Venture Capital,,United States,
Zebra Ventures,18.0,6.0,"Lincolnshire, Illinois, United States",Venture Capital,Zebra Ventures is the strategic investment arm of Zebra Technologies.,https://www.zebra.com/us/en/about-zebra/zebra-ventures.html,zebra.com,,,,https://www.linkedin.com/company/zebra-technologies/,,,ventures@zebra.com,,"Business Development, Financial Services, Venture Capital",,United States,
GTCR,17.0,5.0,"Chicago, Illinois, United States",Private Equity Firm,"GTCR LLC is a private equity firm focused on leveraged buyout, leveraged recapitalization, growth capital and rollup transactions.",https://www.gtcr.com/,gtcr.com,,,,https://www.linkedin.com/company/gtcr-llc,,,info@gtcr.com,312.382.2200,"Finance, Financial Services",,United States,
KGC Capital,17.0,1.0,"Chicago, Illinois, United States",Venture Capital,KGC Capital is a U.S.-based venture capital firm focused on seed- and early-stage venture investments.,http://kgccapital.com/,kgccapital.com,,,,,,,info@kgccapital.net,,"Finance, Financial Services, Venture Capital",,United States,
Method Capital,17.0,3.0,"Chicago, Illinois, United States",Venture Capital,Method Capital is a Chicago-based venture capital firm specialized in growth stage investments in B2B technology companies.,http://method.capital/,method.capital,,,,https://www.linkedin.com/company/10841660,,,info@method.capital,312-648-6800,"Financial Services, FinTech, Venture Capital",,United States,
Chaifetz Group,16.0,1.0,"Chicago, Illinois, United States","Family Investment Office, Private Equity Firm, Venture Capital",Chaifetz Group is a venture capital and private equity firm specializing in early- and mid-stage growth companies.,http://www.chaifetzgroup.com,chaifetzgroup.com,,,,https://www.linkedin.com/company/chaifetz-group-/,,,info@chaifetzgroup.com,(312) 983-3600,"Financial Services, Venture Capital",,United States,
Keystone Capital,15.0,4.0,"Chicago, Illinois, United States",Private Equity Firm,"Keystone Capital has followed a very different approach to investing in, and growing, companies.",http://keystonecapital.com/,keystonecapital.com,,http://www.facebook.com/sharer.php?u=http%3A%2F%2Fkeystonecapital.com%2Fkeystone-announces-acquisition-of-blue-moon-digital-by-portfolio-company-merge%2F&t=Keystone%20Announces%20Acquisition%20of%20Blue%20Moon%20Digital%20by%20Portfolio%20Company%20MERGE&s=100&p[url]=http%3A%2F%2Fkeystonecapital.com%2Fkeystone-announces-acquisition-of-blue-moon-digital-by-portfolio-company-merge%2F&p[images][0]=&p[title]=Keystone%20Announces%20Acquisition%20of%20Blue%20Moon%20Digital%20by%20Portfolio%20Company%20MERGE,,https://www.linkedin.com/company/336261,https://twitter.com/intent/tweet?url=http%3A%2F%2Fkeystonecapital.com%2Fkeystone-announces-acquisition-of-blue-moon-digital-by-portfolio-company-merge%2F&text=Share,,info@keystonecapital.com,(312) 219-7900,"Finance, Financial Services, Venture Capital",,United States,
R7 Partners,14.0,,"Chicago, Illinois, United States","Micro VC, Venture Capital",R7 Partners is a venture capital firm that invests in early-stage companies building transformational technologies.,https://r7.vc,r7partners.com,,,,http://www.linkedin.com/company/r7-partners,,,hello@r7partners.com,,"Enterprise Software, Finance, Transportation",,United States,
Motivate Venture Capital,14.0,,"Chicago, Illinois, United States","Micro VC, Venture Capital",Motivate Venture Capital is a venture capital firm that invests in Seed-stage companies across the US and Canada.,https://motivate.vc/about/,motivate.vc,,,,https://www.linkedin.com/company/motivatevc/about/,,,pitch@motivate.vc,,,,United States,
WP Global Partners,14.0,1.0,"Chicago, Illinois, United States",Family Investment Office,"Institutional investor in venture capital, private equity, and private debt.",https://wpglobalpartners.com/,wpglobalpartners.com,,,,https://www.linkedin.com/company/108847,,,info@wpglobalpartners.com,(212) 558-2098,"Finance, Financial Services, Venture Capital",,United States,
Founder Equity,14.0,1.0,"Chicago, Illinois, United States",Micro VC,Founder Equity is an Early-Stage Venture Capital fund with offices in Chicago and Dallas,https://founderequity.com/,founderequity.com,,,,https://www.linkedin.com/company/founderequity/about/,https://twitter.com/founderequity,,press@founderequity.com,,,,United States,
Chicago Growth Partners,14.0,5.0,"Chicago, Illinois, United States",Private Equity Firm,Chicago Growth Partners (CGP) is a Midwest US based private equity firm that provides expansion and buyout capital to middle-market,http://cgp.com/,cgp.com,,,,http://www.linkedin.com/company/chicago-growth-partners,http://twitter.com/#!/ChicagoGrowth,,info@cgp.com,(312) 698-6300,"Biotechnology, Health Care, Venture Capital",,United States,
Chingona Ventures,13.0,,"Chicago, Illinois, United States",Venture Capital,Chingona Ventures invests in founders from backgrounds and industries that are not well understood by the traditional investor.,https://www.chingona.ventures/,chingona.ventures,,,,https://www.linkedin.com/company/chingona-ventures/,,,samara@chingona.ventures,,,,United States,
Ariadne Capital Limited,13.0,3.0,"Malta, Illinois, United States",Venture Capital,Ariadne Capital enables corporate who seek new digital revenues and startups who understand digital infrastructure.,http://www.ariadnecapital.com,ariadnecapital.com,,,,http://www.linkedin.com/company/ariadne-capital,,,press@ariadnecapital.com,+44 (0)20 3021 1641,"Business Development, Finance, Financial Services",,United States,
Cleveland Avenue,13.0,1.0,"Chicago, Illinois, United States","Accelerator, Venture Capital","Cleveland Avenue is a Chicago-based Venture Fund and Accelerator that brings unparalleled resources to Food, Beverage & Tech businesses.",https://www.clevelandavenue.com/,clevelandavenue.com,,,https://www.instagram.com/cleveavellc/,https://www.linkedin.com/company/cleveland-avenue/,https://twitter.com/CleveAveLLC,,info@clevelandavenue.com,312.383.6700,"Consumer Goods, Food and Beverage, Retail Technology, Venture Capital",,United States,
IAN Fund,13.0,,"Vermont, Illinois, United States",Venture Capital,IAN Fund is a non-profit fund designed to support the children and families of avalanche victims,https://ianfund.org/,ianfund.org,,https://www.facebook.com/AvalancheFund,https://www.instagram.com/ianfund,https://www.linkedin.com/company/international-avalanche-nest-egg,,,avalanchefund@gmail.com,802-899-0456,"Finance, Non Profit",,United States,
Bridge Investments,13.0,3.0,"Highland Park, Illinois, United States",Private Equity Firm,Chicago-based private equity and venture capital firm focused on the lower middle market (sub $5 million in EBITDA).,http://www.bridgeinvestments.com,bridgeinvestments.com,,,,https://www.linkedin.com/company/bridge-investments,,,jthomas@bridgeinvestments.com,847.681.8881,,,United States,
